NAME;BAK NR;REG NR;BAFIN-ID;LEI;NATIONALE IDENTIFIKATIONSNUMMER DER BEHÖRDE DES HERKUNFTSMITGLIEDSTAATES;PLZ;ORT;STRASSE;LAND;GATTUNG;SCHLICHTUNGSSTELLE;HANDELSNAMEN;ZWEIGNIEDERLASSUNG IN DEUTSCHLAND;KONTAKTDATEN FÜR VERBRAUCHERBESCHWERDEN;GRENZÜBERSCHREITENDE ERBRINGUNG VON KREDITDIENSTLEISTUNGEN IN;ERLAUBNISSE/ZULASSUNG/TÄTIGKEITEN;ERTEILUNGSDATUM;ENDE AM;ENDEGRUND
yabeo Advisors GmbH;149489;---;10149489;391200ID5KGYMBQZSL97;;82049;Pullach;Gartenstraße 34;Deutschland;Registrierte AIF-KVG (§ 44 KAGB);;;;;;§ 2 Abs. 4 KAGB;;;
Yapi Kredi Bank Deutschland GmbH & Co. OHG;100306;---;10100306;391200VXBQK0HAAE7G94;;60311;Frankfurt am Main;Neue Mainzer Straße 75;Deutschland;CRR-Kreditinstitut, Kreditinstitut, SSM-Institut;www.bankenombudsmann.de;;;;;Einlagengeschäft (§ 1 Abs. 1 Satz 2 Nr. 1 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Kreditgeschäft (§ 1 Abs. 1 Satz 2 Nr. 2 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Diskontgeschäft (§ 1 Abs. 1 Satz 2 Nr. 3 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Finanzkommissionsgeschäft (§ 1 Abs. 1 Satz 2 Nr. 4 KWG);1998-01-01;;
;;;;;;;;;;;;;;;;Depotgeschäft (§ 1 Abs. 1 Satz 2 Nr. 5 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Revolvinggeschäft, sog. (§ 1 Abs. 1 Satz 2 Nr. 7 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Garantiegeschäft (§ 1 Abs. 1 Satz 2 Nr. 8 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Girogeschäft (§ 1 Abs. 1 Satz 2 Nr. 9 KWG);1961-07-10;2009-10-30;Ende nach Art 2 Zahlungsdiensteumsetzungsgesetz
;;;;;;;;;;;;;;;;Emissionsgeschäft (§ 1 Abs. 1 Satz 2 Nr. 10 KWG);1998-01-01;;
;;;;;;;;;;;;;;;;Geldkartengeschäft (§ 1 Abs. 1 Satz 2 Nr. 11 KWG a.F.);1998-01-01;2002-06-30;Ende nach § 64f  KWG (4. FMFG)
;;;;;;;;;;;;;;;;Netzgeldgeschäft (§ 1 Abs. 1 Satz 2 Nr. 12 KWG a.F.);1998-01-01;2002-06-30;Ende nach § 64f  KWG (4. FMFG)
;;;;;;;;;;;;;;;;E-Geld-Geschäft (§ 1 Abs. 1 Satz 2 Nr. 11 KWG);2002-07-01;2011-04-30;Inkrafttr. d. Gesetzes z. Umsetzung d. 2. E-GeldRL
;;;;;;;;;;;;;;;;Anlagevermittlung (§ 1 Abs. 1a Satz 2 Nr. 1 KWG);1998-01-01;;
;;;;;;;;;;;;;;;;Abschlußvermittlung (§ 1 Abs. 1a Satz 2 Nr. 2 KWG);1998-01-01;;
;;;;;;;;;;;;;;;;Finanzportfolioverwaltung (§ 1 Abs. 1a Satz 2 Nr. 3 KWG);1998-01-01;;
;;;;;;;;;;;;;;;;Eigenhandel (§ 1 Abs. 1a Satz 2 Nr. 4 KWG a.F.);1998-01-01;;
;;;;;;;;;;;;;;;;Drittstaateneinlagenvermittlung (§ 1 Abs. 1a Satz 2 Nr. 5 KWG);1998-01-01;;
