Name;Straße;PLZ;Stadt/Ort;Land;Telefon;Fax;E-Mail;Website;Bankleitzahl;Firmenbuchnummer
"A.B.S. Factoring AG";"Urstein Süd 9";5412;"Puch bei Hallein";Austria;"+43 662 6235530";;office@abs-factoring.at;www.abs-factoring.at;74500;62648f
"Addiko Bank AG";"Canettistraße 5/12";1100;Wien;Austria;"+43 800 800707";;holding@addiko.com;www.addiko.at;52300;350921k
"Alpen Privatbank Aktiengesellschaft";"Walserstraße 61";6991;Riezlern;Austria;"+43 5517 3500";;info@alpenprivatbank.com;www.alpenprivatbank.com;36791;46138a
"ALPENLÄNDISCHE GARANTIE - GESELLSCHAFT m.b.H.";"Untere Donaulände 28";4020;Linz;Austria;"+43 732 78020";;;;76310;83648m
"Austrian Anadi Bank AG";"Inglitschstraße 5A";9020;"Klagenfurt am Wörthersee";Austria;"+43 5 02020";;austrian@anadibank.com;www.anadibank.com;52000;245157a
"A1 Bank AG";"Lassallestraße 9";1020;Wien;Austria;"+43 5 0520505";;service@A1.bank;www.a1.bank;18120;218809d
"Banco do Brasil Aktiengesellschaft";"Stallburggasse 4";1010;Wien;Austria;;;bbaustria@bb.com.br;;19970;100508g
"Bank Austria Wohnbaubank AG";"Rothschildplatz 1";1020;Wien;Austria;"+43 5 050540304";;ba.wohnbaubank@unicreditgroup.at;www.bankaustria.at/wohnbaubank.jsp;19720;92498b
"Bank Gutmann Aktiengesellschaft";"Schwarzenbergplatz 16";1010;Wien;Austria;"+43 1 502200";;mail@gutmann.at;www.gutmann.at;19140;78445k
"Bank Winter & Co. AG";"Singerstraße 10";1010;Wien;Austria;;;;;19220;124457a
"Bankhaus Carl Spängler & Co. Aktiengesellschaft";"Schwarzstraße 1";5020;Salzburg;Austria;"+43 6628686";;bankhaus@spaengler.at;www.spaengler.at;19530;75934v
"Bankhaus Denzel Aktiengesellschaft";"Erdbergstraße 189-193";1030;Wien;Austria;"+43 1 51507";;kundenservice@denzelbank.at;www.denzelbank.at;19380;49597m
